Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
032830,KR7032830002,삼성생명,KOSPI,,94400,2,-1200,-1.26,96000,97000,94400,217421,20783561600,18880000000000,200000000,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,190400,1,800,0.42,188200,192000,185600,640252,121190434300,18621375897600,97801344,KSQ
138040,KR7138040001,메리츠금융지주,KOSPI,,97600,2,-1600,-1.61,99400,99500,97500,259157,25477138800,18614283126400,190720114,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,332000,2,-9000,-2.64,341000,341500,331500,186731,62526805500,17645311296000,53148528,KSQ
086790,KR7086790003,하나금융지주,KOSPI,,60700,2,-200,-0.33,60800,62400,60600,722752,44432601000,17435521416000,287240880,STK
066570,KR7066570003,LG전자,KOSPI,,106500,2,-1400,-1.3,107700,109600,106500,417394,44941261100,17428492191000,163647814,STK
000810,KR7000810002,삼성화재,KOSPI,,352500,2,-3500,-0.98,353000,360000,352500,82557,29353793000,16699630042500,47374837,STK
259960,KR7259960003,크래프톤,KOSPI,,340500,2,-2500,-0.73,345000,345000,337500,56305,19192756500,16308929521500,47897003,STK
329180,KR7329180004,HD현대중공업,KOSPI,,183500,2,-13100,-6.66,195900,196000,182200,409942,75871089100,16289866786000,88773116,STK
035720,KR7035720002,카카오,KOSPI,,36650,2,-100,-0.27,36750,36900,36250,764657,28035029150,16255278806850,443527389,STK
010130,KR7010130003,고려아연,KOSPI,,711000,2,-2000,-0.28,718000,723000,706000,210122,149836555000,14720034213000,20703283,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,317000,1,17000,5.67,300000,321000,300000,1553930,481299846832,14449228037000,45581161,STK
033780,KR7033780008,KT&G,KOSPI,,108900,1,1700,1.59,108200,110300,106300,330932,36020323200,14192119923300,130322497,STK
011200,KR7011200003,HMM,KOSPI,,18860,1,180,0.96,18700,18920,18450,1917143,36028908210,14126884894560,749039496,STK
015760,KR7015760002,한국전력,KOSPI,,20800,1,450,2.21,20450,21000,20200,2492907,51558731300,13352852801600,641964077,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,184500,2,-14500,-7.29,198000,198900,183500,483836,90315796300,13057639902000,70773116,STK
003550,KR7003550001,LG,KOSPI,,80300,2,-500,-0.62,80800,81200,80200,138402,11154553900,12631269737900,157300993,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,91600,2,-400,-0.43,92000,92500,90300,871180,79814069700,12195471944000,133138340,KSQ
017670,KR7017670001,SK텔레콤,KOSPI,,56600,2,-1400,-2.41,57400,57500,56200,716790,40664847000,12157116999800,214790053,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,153900,2,-1500,-0.97,154700,155500,153200,95306,14710906900,11908443420000,77377800,STK
